%Archivo de ejemplo
%Formato centroId estudianteId asignaturaId <secuencia de notas>

centro01	ldq514	yyz	4.45	9.58	4.1	0.8	5.6	0.76	3.62	4.84							
centro01	ldq514	yha	4.49	4.19	5.69	8.27	1.25	5.38	7.76	4.08							
centro01	ldq514	ozq	6.66	6.06	7.96	3.42	1.18	4.09	5.05	1.48	4.94	8.81	1.98	1.8	4.54	1.67	
centro01	ldq514	ist	2.63	5.55	9.3	7.43	1.26	0.34	4.31	6.9	9.9	1.32	8.67					
centro01	ldq514	zxj	9.04	3.54	4.02	5.57	7.12	1.19	8.97	8.98	5.91	6.17	9.94				
centro01	ldq514	pcf	0.74	9.21	9.5	9.11	6.31										
centro01	ldq514	jhd	2.89	4.77	1.35	1.83	7.66	9.16	9.37	0.84	8.96	5.94	3.7				
centro01	ldq514	dtq	4.54	3.2	1.77	7.23	2.79	7.73	2.32	4.93	0.48	5.18	5.25	5.08	9.28	2.85	3.84
centro01	rft457	jhd	3.47	1.66	2.88	4.87	2.24	1.69									
centro01	rft457	ozq	9.89	7.53	9.25	6.66	1.41	2.07	8.39	7.55	0.27						
centro01	rft457	zxj	9.6	5.4	7.99	0.07	8.33										
centro01	rft457	jpr	3.7	2.82	9.48	4.27	4.45										
centro01	rft457	usy	8.31	2.95	1.1	7.06	8.45	4.44	4.32								
centro01	rft457	yha	0.87	1.37	2.78	6.69	9.68	8.04	7.44	2.22	0.74						





centro01	rft457	pcf	5.07	2.76	6.31	5.13	7.77	7.07	3.15								
centro01	rft457	yyz	4.33	9.32	7.94	3.18	8.41										
centro01	rft457	ist	8.38	6.26	9.49	6.27	2.46	5.86	8.72	2.2	1.96	4.7	4.85	1.87	4.97	1.32	6.35
centro01	rft457	dtq	9.51	8.57	7.49	0.03	0.67	5.58									
centro01	cay001	jhd	3.8	5.84	6.38	4.84	6.57	1.8	3.0	2.32	2.92	4.85	7.97	3.92	3.57	4.81	
centro01	cay001	zxj	2.19	9.63	8.97	7.64	4.2	4.47									
centro01	cay001	jpr	6.62	1.16	4.65	3.19	1.14	6.97	7.05	7.74							
centro01	cay001	usy	8.4	8.64	6.01	6.87	0.29	2.68	2.15	8.51	4.09	5.62	3.23	6.75			
centro01	cay001	ozq	3.91	4.42	3.99	9.12	2.68	7.28	3.4	8.19	3.09	4.1	5.73				
centro01	auo836	yyz	1.29	5.4	9.5	0.21	3.79	7.8	3.33	3.53	7.66	0.63					
centro01	auo836	pcf	5.19	3.62	1.98	1.57	5.36										
centro01	auo836	yha	2.9	1.61	3.74	4.13	5.53	2.49	0.14	8.45							
centro01	auo836	ist	1.03	3.98	4.85	1.57	3.01	2.3	7.72	2.47	2.72	1.24	7.84	6.55	1.31		
centro01	auo836	jpr	8.62	0.77	5.05	7.03	7.33	0.2	7.43	5.42	9.19						
centro01	ysn128	ozq	8.59	7.85	4.25	7.43	3.02	4.59	1.0	9.69	5.76	3.77	4.3	2.22	4.06	2.79	
centro01	ysn128	jpr	9.08	5.33	2.45	0.17	4.97	3.94	3.73	5.47	1.08						
centro01	ysn128	pcf	5.78	0.25	7.71	4.47	4.77	1.09	3.11	1.44							
centro01	ysn128	yyz	9.76	0.95	1.69	8.65	4.9	2.5	1.41	6.16	4.74	7.23	5.67	2.32	7.67	2.52	3.11
centro01	njx884	jhd	8.71	2.68	2.09	5.62	4.89	5.0	9.59	2.36	4.61	4.83	5.55				
centro01	njx884	zxj	9.21	4.26	0.78	1.27	0.14	5.2									
centro01	njx884	usy	1.66	4.38	9.72	0.39	4.24	1.71									
centro01	njx884	dtq	4.87	7.49	5.47	3.99	2.97	4.35	2.94	9.22	6.77	5.22	6.15	3.72	6.5		
centro01	njx884	ist	2.9	6.85	8.03	9.52	3.71	6.05	4.72								
centro01	njx884	jpr	9.36	9.27	7.2	8.52	1.35	5.24	8.29	0.1							
centro01	qwo151	jhd	6.94	5.38	3.31	0.61	4.69	1.56	3.5	5.59							
centro01	qwo151	ozq	3.45	0.14	1.93	2.84	9.12	4.26	7.29	3.67							
centro01	qwo151	dtq	9.34	5.61	6.42	2.03	5.93	1.03	2.16	1.78	5.64	1.27	5.22				
centro01	qwo151	zxj	7.66	3.3	7.72	5.92	2.77	8.07	8.71	6.68	4.73	1.68	7.83	9.89	0.91	8.03	1.46
centro01	qwo151	jpr	4.75	0.0	0.78	9.7	1.37	8.07	4.25								
centro01	qwo151	yyz	3.27	5.0	1.17	5.6	3.77	3.86	4.74	3.12	5.22	5.31	8.83	8.42			
